"","x","freq"
"1",1,952
"2",2,471
"3",3,1129
"4",4,582
"5",5,59
"6",6,1149
"7",7,560
"8",8,995
"9",9,353
"10",10,281
"11",11,747
"12",12,343
"13",13,887
"14",14,547
"15",15,1081
"16",16,294
"17",17,842
"18",18,537
"19",19,282
"20",20,1450
"21",21,840
"22",22,200
"23",23,595
"24",24,475
"25",25,357
"26",26,110
"27",27,699
"28",28,323
"29",29,226
"30",30,283
"31",31,411
"32",32,350
"33",33,166
"34",34,220
"35",35,440
"36",36,529
"37",37,731
"38",38,422
"39",39,417
"40",40,515
"41",41,435
"42",42,359
"43",43,604
"44",44,1690
"45",45,428
"46",46,617
"47",47,490
"48",48,815
"49",49,283
"50",50,355
"51",51,466
"52",52,2677
"53",53,1171
"54",54,9463
"55",55,116
"56",56,298
"57",57,593
"58",58,585
"59",59,1114
"60",60,895
"61",61,79
"62",62,994
"63",63,400
"64",64,713
"65",65,452
"66",66,2805
"67",67,698
"68",68,259
"69",69,874
"70",70,2495
"71",71,1133
"72",72,795
"73",73,2530
"74",74,720
"75",75,1364
"76",76,333
"77",77,191
"78",78,789
"79",79,1459
"80",80,438
"81",81,354
"82",82,738
"83",83,298
"84",84,543
"85",85,324
"86",86,1152
"87",87,747
"88",88,475
"89",89,1534
"90",90,1163
"91",91,128
"92",92,1237
"93",93,637
"94",94,150
"95",95,1842
"96",96,1064
"97",97,68
"98",98,268
"99",99,784
"100",100,207
