"","V1","V2"
"1",57,0.1929207311
"2",18,0.1564382955
"3",15,0.362048141
"4",74,0.2002881738
"5",89,0.3583415198
"6",73,0.2368886914
"7",34,0.1941763322
"8",43,0.2521236655
"9",16,0.2806432016
"10",60,0.4247249276
"11",66,0.1904030287
"12",27,0.4048179549
"13",15,0.4848413557
"14",66,0.3968512372
"15",66,0.1911699087
"16",71,0.2861920337
"17",30,0.1688372748
"18",15,0.2877919621
"19",27,0.2883316601
"20",45,0.2308245478
"21",74,0.1523318297
"22",18,0.1807502361
"23",43,0.4672553774
"24",66,0.2815125796
"25",86,0.3084879379
"26",95,0.3658133646
"27",34,0.315106303
"28",15,0.5668533959
"29",4,0.3134202244
"30",56,0.2485661789
"31",27,0.3659464782
"32",71,0.1735801557
"33",89,0.2698292309
"34",15,0.3237211804
"35",15,0.2160962486
"36",57,0.1929207311
"37",15,0.2167091493
"38",57,0.1929207311
"39",89,0.2541661504
"40",57,0.1929207311
"41",15,0.2447869274
"42",66,0.3068492665
"43",68,0.1689286065
"44",15,0.2022743794
"45",27,0.6713275119
"46",57,0.1929207311
"47",68,0.1822095509
"48",15,0.2009242965
"49",18,0.2341092654
"50",86,0.1323570563
"51",13,0.3126851876
"52",15,0.2271439738
"53",13,0.2101437032
"54",74,0.1461232225
"55",18,0.1855935586
"56",15,0.2395380628
"57",43,0.2630535709
"58",15,0.4180275094
"59",18,0.3239575632
"60",15,0.3140755439
"61",71,0.2079635833
"62",18,0.2317096649
"63",57,0.1929207311
"64",66,0.4282353563
"65",27,0.17438123
"66",27,0.53342316
"67",71,0.2563486621
"68",15,0.3761632919
"69",74,0.2944000749
"70",66,0.4303443678
"71",66,0.3371977264
"72",71,0.4189306361
"73",43,0.3656705961
"74",55,0.2092891433
"75",74,0.3214813346
"76",86,0.2036890638
"77",86,0.2442677891
"78",68,0.1356762968
"79",13,0.166431073
"80",74,0.2005737095
"81",15,0.2983713879
"82",15,0.2374360553
"83",43,0.2668391073
"84",13,0.2764594648
"85",8,0.3653251275
"86",74,0.3056363719
"87",79,0.1664077015
"88",92,0.3293379327
"89",16,0.2532390897
"90",76,0.1809287093
"91",92,0.3157053657
"92",92,0.298463875
"93",15,0.2668855359
"94",92,0.2149269279
"95",48,0.2595570261
"96",92,0.3118864301
"97",92,0.3710226192
"98",92,0.3092361743
"99",76,0.2129314955
"100",92,0.4928213314
"101",92,0.4233353977
"102",92,0.4846146372
"103",92,0.3365637524
"104",92,0.2521186247
"105",15,0.3429972341
"106",15,0.2263251244
"107",69,0.2394372967
"108",9,0.1944160474
"109",92,0.3286821309
"110",92,0.3375692172
"111",92,0.3131985336
"112",21,0.2532595589
"113",37,0.4175142955
"114",37,0.2460322181
"115",92,0.2051898844
"116",15,0.2172093974
"117",92,0.3515528572
"118",92,0.1740052658
"119",92,0.2078821284
"120",76,0.3111057424
"121",92,0.2528969168
"122",92,0.3242727456
"123",92,0.4354672311
"124",92,0.2353404678
"125",84,0.3727057737
"126",92,0.4218685158
"127",92,0.1506789315
"128",92,0.2933018749
"129",92,0.3447362164
"130",61,0.2030205087
"131",71,0.1995917958
"132",27,0.2084011538
"133",92,0.2373512075
"134",71,0.2487773017
"135",2,0.3880512415
"136",9,0.2749580717
"137",92,0.2539986037
"138",92,0.2921097772
"139",55,0.2656167575
"140",71,0.2868658862
"141",92,0.3543165778
"142",43,0.2081102444
"143",92,0.4945955091
"144",94,0.3148174385
"145",100,0.1153292206
"146",92,0.5748909317
"147",92,0.4413188882
"148",76,0.3299515012
"149",92,0.4740000274
"150",4,0.2260960007
"151",55,0.1337419711
"152",61,0.2416671386
"153",21,0.3878613579
"154",21,0.2726373904
"155",30,0.3393391738
"156",21,0.2114765839
"157",92,0.2295830405
"158",41,0.2042156065
"159",13,0.2037281861
"160",71,0.1762045333
"161",92,0.4634659056
"162",92,0.2026265197
"163",92,0.3092361743
"164",48,0.3531339237
"165",92,0.3853931602
"166",74,0.1516490593
"167",37,0.1925770636
"168",74,0.1643772991
"169",55,0.1892977416
"170",92,0.3676960413
"171",92,0.2806844186
"172",92,0.6228808124
"173",74,0.3241480124
"174",55,0.1524145944
"175",92,0.6660453841
"176",15,0.2923619386
"177",30,0.2966130205
"178",55,0.3034685427
"179",92,0.2568953873
"180",92,0.2373512075
"181",92,0.4305035351
"182",55,0.279248018
"183",89,0.2224770078
"184",92,0.3300354222
"185",92,0.3930495745
"186",97,0.1805081685
"187",92,0.2476438348
"188",92,0.2105960941
"189",94,0.3268460956
"190",92,0.3433555644
"191",27,0.2480555681
"192",20,0.303184241
"193",37,0.4221542752
"194",71,0.24887803
"195",92,0.403895167
"196",92,0.3375692172
"197",19,0.1824498691
"198",15,0.3286011064
"199",92,0.3763366652
"200",92,0.4504304811
"201",92,0.4153814704
"202",71,0.3240107915
"203",61,0.3402203816
"204",87,0.2790537874
"205",72,0.353794885
"206",92,0.4297459077
"207",92,0.3710226192
"208",81,0.2475074177
"209",89,0.1565712538
